CPU_time(ms), CPU_USAGE(%), GPU_time(ms), GPU_USAGE(%), RAM_time(ms), RAM_USED(Gb), VRAM_time(ms), VRAM_USED(Gb), POWER_time(ms), POWER_USE(W)
2025-04-06 13:24:04.003, 11.89, 2025-04-06 13:24:05.007, 0, 2025-04-06 13:24:05.025, 4.88, 2025-04-06 13:24:05.029, 3.75, 2025-04-06 13:24:05.046, 11.06
2025-04-06 13:24:04.104, 10.98, 2025-04-06 13:24:05.110, 1, 2025-04-06 13:24:05.128, 4.89, 2025-04-06 13:24:05.132, 3.75, 2025-04-06 13:24:05.150, 11.00
2025-04-06 13:24:04.206, 12.52, 2025-04-06 13:24:05.210, 1, 2025-04-06 13:24:05.229, 4.85, 2025-04-06 13:24:05.232, 3.75, 2025-04-06 13:24:05.251, 11.21
2025-04-06 13:24:04.307, 12.15, 2025-04-06 13:24:05.311, 9, 2025-04-06 13:24:05.329, 4.86, 2025-04-06 13:24:05.333, 3.75, 2025-04-06 13:24:05.350, 11.19
2025-04-06 13:24:04.409, 11.93, 2025-04-06 13:24:05.413, 9, 2025-04-06 13:24:05.431, 4.88, 2025-04-06 13:24:05.435, 3.75, 2025-04-06 13:24:05.452, 11.21
2025-04-06 13:24:04.510, 16.71, 2025-04-06 13:24:05.521, 5, 2025-04-06 13:24:05.544, 4.93, 2025-04-06 13:24:05.548, 3.75, 2025-04-06 13:24:05.567, 11.23
2025-04-06 13:24:04.612, 19.38, 2025-04-06 13:24:05.618, 19, 2025-04-06 13:24:05.641, 5.01, 2025-04-06 13:24:05.645, 3.75, 2025-04-06 13:24:05.665, 11.30
2025-04-06 13:24:04.713, 21.41, 2025-04-06 13:24:05.717, 19, 2025-04-06 13:24:05.736, 5.14, 2025-04-06 13:24:05.739, 3.75, 2025-04-06 13:24:05.757, 11.40
2025-04-06 13:24:04.814, 21.33, 2025-04-06 13:24:05.819, 25, 2025-04-06 13:24:05.837, 5.27, 2025-04-06 13:24:05.841, 3.75, 2025-04-06 13:24:05.859, 11.44
2025-04-06 13:24:04.915, 23.24, 2025-04-06 13:24:05.919, 25, 2025-04-06 13:24:05.938, 4.94, 2025-04-06 13:24:05.941, 3.75, 2025-04-06 13:24:05.958, 11.50
2025-04-06 13:24:05.016, 23.23, 2025-04-06 13:24:06.021, 5, 2025-04-06 13:24:06.040, 4.92, 2025-04-06 13:24:06.043, 3.75, 2025-04-06 13:24:06.061, 11.51
2025-04-06 13:24:05.118, 23.29, 2025-04-06 13:24:06.122, 5, 2025-04-06 13:24:06.140, 4.92, 2025-04-06 13:24:06.143, 3.75, 2025-04-06 13:24:06.161, 11.58
2025-04-06 13:24:05.219, 21.58, 2025-04-06 13:24:06.223, 6, 2025-04-06 13:24:06.241, 4.95, 2025-04-06 13:24:06.245, 3.75, 2025-04-06 13:24:06.262, 11.75
2025-04-06 13:24:05.320, 21.55, 2025-04-06 13:24:06.324, 6, 2025-04-06 13:24:06.343, 4.95, 2025-04-06 13:24:06.346, 3.75, 2025-04-06 13:24:06.364, 11.47
2025-04-06 13:24:05.421, 21.53, 2025-04-06 13:24:06.426, 15, 2025-04-06 13:24:06.444, 5.12, 2025-04-06 13:24:06.448, 3.75, 2025-04-06 13:24:06.465, 11.56
2025-04-06 13:24:05.525, 15.76, 2025-04-06 13:24:06.529, 15, 2025-04-06 13:24:06.547, 5.06, 2025-04-06 13:24:06.551, 3.75, 2025-04-06 13:24:06.569, 11.55
