query_id | cpu_time(ms) | cpu_used(%) | ram_time(ms) | ram_used(gb)
90 | 2025-04-10 22:53:06.002 | 13,6 | 2025-04-10 22:53:06.245 | 2,16
91 | 2025-04-10 22:53:06.328 | 19,9 | 2025-04-10 22:53:06.569 | 2,17
92 | 2025-04-10 22:53:06.732 | 0 | 2025-04-10 22:53:06.741 | 0
92 | 2025-04-10 22:53:06.653 | 12,4 | 2025-04-10 22:53:06.898 | 2,16
93 | 2025-04-10 22:53:06.986 | 34,8 | 2025-04-10 22:53:07.243 | 2,17
94 | 2025-04-10 22:53:07.417 | 0 | 2025-04-10 22:53:07.427 | 0
94 | 2025-04-10 22:53:07.327 | 16,5 | 2025-04-10 22:53:07.582 | 2,17
95 | 2025-04-10 22:53:07.763 | 0 | 2025-04-10 22:53:07.770 | 0
95 | 2025-04-10 22:53:07.674 | 16,2 | 2025-04-10 22:53:07.942 | 2,17
96 | 2025-04-10 22:53:08.030 | 17,3 | 2025-04-10 22:53:08.271 | 2,19
97 | 2025-04-10 22:53:08.362 | 39,9 | 2025-04-10 22:53:08.628 | 2,25
98 | 2025-04-10 22:53:08.788 | 0 | 2025-04-10 22:53:08.796 | 0
98 | 2025-04-10 22:53:08.712 | 14,0 | 2025-04-10 22:53:08.961 | 2,18
99 | 2025-04-10 22:53:09.049 | 25,0 | 2025-04-10 22:53:09.293 | 2,18
