query_id | cpu_time(ms) | cpu_used(%) | ram_time(ms) | ram_used(gb)
66 | 2025-04-10 22:51:41.868 | 31,6 | 2025-04-10 22:51:42.122 | 2,20
67 | 2025-04-10 22:51:42.202 | 56,0 | 2025-04-10 22:51:42.477 | 2,25
67 | 2025-04-10 22:51:42.590 | 78,9 | 2025-04-10 22:51:42.959 | 2,37
67 | 2025-04-10 22:51:43.094 | 66,3 | 2025-04-10 22:51:43.412 | 2,46
67 | 2025-04-10 22:51:43.517 | 78,9 | 2025-04-10 22:51:43.853 | 2,58
67 | 2025-04-10 22:51:43.933 | 6,4 | 2025-04-10 22:51:44.183 | 2,14
68 | 2025-04-10 22:51:44.266 | 28,2 | 2025-04-10 22:51:44.517 | 2,20
69 | 2025-04-10 22:51:44.600 | 27,9 | 2025-04-10 22:51:44.839 | 2,22
70 | 2025-04-10 22:51:44.921 | 30,2 | 2025-04-10 22:51:45.169 | 2,25
71 | 2025-04-10 22:51:45.252 | 24,0 | 2025-04-10 22:51:45.500 | 2,25
72 | 2025-04-10 22:51:45.661 | 0 | 2025-04-10 22:51:45.669 | 0
72 | 2025-04-10 22:51:45.583 | 11,2 | 2025-04-10 22:51:45.838 | 2,24
73 | 2025-04-10 22:51:45.924 | 20,1 | 2025-04-10 22:51:46.168 | 2,21
74 | 2025-04-10 22:51:46.251 | 37,9 | 2025-04-10 22:51:46.512 | 2,26
74 | 2025-04-10 22:51:46.590 | 41,4 | 2025-04-10 22:51:46.844 | 2,26
74 | 2025-04-10 22:51:46.923 | 28,7 | 2025-04-10 22:51:47.177 | 2,17
75 | 2025-04-10 22:51:47.261 | 40,8 | 2025-04-10 22:51:47.548 | 2,19
75 | 2025-04-10 22:51:47.633 | 12,7 | 2025-04-10 22:51:47.881 | 2,12
76 | 2025-04-10 22:51:47.965 | 29,5 | 2025-04-10 22:51:48.220 | 2,16
77 | 2025-04-10 22:51:48.393 | 0 | 2025-04-10 22:51:48.401 | 0
77 | 2025-04-10 22:51:48.307 | 11,6 | 2025-04-10 22:51:48.566 | 2,13
78 | 2025-04-10 22:51:48.656 | 40,8 | 2025-04-10 22:51:48.924 | 2,25
78 | 2025-04-10 22:51:49.023 | 49,2 | 2025-04-10 22:51:49.299 | 2,20
79 | 2025-04-10 22:51:49.382 | 28,4 | 2025-04-10 22:51:49.641 | 2,24
80 | 2025-04-10 22:51:49.803 | 0 | 2025-04-10 22:51:49.812 | 0
80 | 2025-04-10 22:51:49.724 | 11,4 | 2025-04-10 22:51:49.972 | 2,23
81 | 2025-04-10 22:51:50.061 | 24,3 | 2025-04-10 22:51:50.307 | 2,26
82 | 2025-04-10 22:51:50.466 | 0 | 2025-04-10 22:51:50.475 | 0
82 | 2025-04-10 22:51:50.390 | 11,0 | 2025-04-10 22:51:50.637 | 2,27
83 | 2025-04-10 22:51:50.724 | 22,4 | 2025-04-10 22:51:50.970 | 2,27
84 | 2025-04-10 22:51:51.056 | 18,9 | 2025-04-10 22:51:51.307 | 2,25
85 | 2025-04-10 22:51:51.475 | 0 | 2025-04-10 22:51:51.483 | 0
85 | 2025-04-10 22:51:51.397 | 14,1 | 2025-04-10 22:51:51.651 | 2,25
86 | 2025-04-10 22:51:51.738 | 26,5 | 2025-04-10 22:51:51.992 | 2,19
87 | 2025-04-10 22:51:52.077 | 45,9 | 2025-04-10 22:51:52.341 | 2,23
88 | 2025-04-10 22:51:52.424 | 44,9 | 2025-04-10 22:51:52.704 | 2,24
